Sample;CLUSTER;IWS_F1-M0;IWS_M0-M3;MOYDAY_E1-F1;MOYDAY_F1-M0;MOYDAY_M0-M3;MOYDAY_VE-E1;MOYPTQ_F1-M0;MOYPTQ_M0-M3;MOYTMIN_S-VE;NBDMAX1_E1-F1;NBDMIN1_E1-F1;SUMH2O_E1-F1;SUMH2O_F1-M0;SUMH2O_M0-M3;SUMH2O_S-VE;SUMH2O_VE-E1;SUMRG_E1-F1;SUMRG_F1-M0
18;1;0,0784;0,8645;14,4667;14,2222;13,1724;13,9722;1,5166;1,279;9,54;0;0;19,9;16,4;59,8;22;112;337,3607;436,8996
19;1;0,104;0,8887;14,5294;14;13,1;13,9722;1,4689;1,2439;9,54;0;0;19,9;17,8;58,6;22;112;395,788;416,5254
20;1;0,0019;0,851;14,5;14,6667;13,2308;13,8333;1,5178;1,3145;8,3917;2;0;16,4;38,3;14,5;17,1;125,6;381,4387;459,9634
21;1;0;0,7811;14,6875;14,7368;13,0667;13,7561;1,5469;1,368;6,9;0;0;63,9;24,1;47,8;1,5;126,3;383,1379;455,7128
22;1;0,0045;0,8474;14,7059;14,6667;12,9333;13,7561;1,5508;1,3077;6,9;0;0;63,9;24,1;50,8;1,5;126,3;412,6003;486,1901
23;1;0;0,6179;14,4;14;13,1429;13,7297;1,5611;1,2607;9,48;0;0;28,7;38,9;50;26,8;55,4;349,0456;452,9909
24;1;0,0029;0,1824;14,5789;13,7368;12,3824;14,4333;1,4236;1,3433;12,4857;0;0;21,6;16,8;151,2;17,5;92,7;455,8302;422,3959
25;1;0,0115;0,142;14,5455;13,5556;12,1944;14,4333;1,4729;1,2971;12,4857;0;0;26,4;12;151,2;17,5;92,7;505,0249;423,4882
26;1;0;0,3817;13,7647;13,6842;12,8387;13,8214;1,5368;1,2419;9,55;0;0;97,7;76;74,1;29,8;91,8;401,7121;471,1738
27;1;0,144;0,4907;14,05;14;12,5385;13,7568;1,4111;1,2956;3,4483;0;1;32,4;19,9;82,8;18,6;75,4;397,7536;433,1545
28;1;0,0514;0,9287;14;13,1053;12,9;13,8889;1,115;0,9931;9,6125;5;2;79,1;29,4;32,1;25,8;34,8;317,2295;338,9076
29;1;0,0088;0,7677;14,5263;14,2105;12,6944;13,8571;1,2606;1,2302;4,4286;1;0;39,1;19,9;52,3;45,8;105,2;373,9878;376,2104
30;1;0;0,7631;14,381;13,7727;12,5556;13,6053;1,4046;1,2632;4,348;0;0;48,5;23,4;23,8;16,3;70,4;408,9208;432,9929
31;1;0;0,3379;14,4;13,9048;13;13,2222;1,2735;1,3322;7,6286;1;2;54,3;103,9;21,5;15;80,6;455,2488;371,6676
32;1;0;0,1401;14,3889;14,1;12,9286;14,2683;1,5572;1,1252;8,33;1;0;17,2;54;89;7,8;35,6;416,2892;462,1745
33;1;0,0744;0,9398;14,5556;14,3889;13,0385;13,8529;1,4731;1,2502;9,1556;1;0;28,7;41,3;40,9;4;49,2;477,2819;422,2753
